model,fold,case,scenario,postprocessing,cldice,hd95,nsd,nsd05,betti0,volume_delta,git_commit,seed,timestamp
M0_Star,0,PARSE_0058.nii.gz,GT_star,lcc,0.7919371457866687,1.0,0.9296806081677131,0.7033495926521717,0.0,-0.06798033483922403,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_star,none,0.8032853816918535,0.71484375,0.9388407444239238,0.707590179390151,96.0,-0.06427052883337762,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_minus_drift_neg,lcc,0.6944269376418728,1.3276653616405,0.9205344530809785,0.6171759820305204,418.0,0.026374720079621796,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_minus_drift_neg,none,0.7034746341221172,1.3057864009860112,0.9288501200517146,0.6195976728436865,252.0,0.029617649498216804,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_minus_drift_pos,lcc,0.7003495070980339,2.3259742582410494,0.8983822607694002,0.6190029305642607,109.0,-0.13860011206899553,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_minus_drift_pos,none,0.7123908485404872,2.0,0.9092540218349907,0.6217937671272221,57.0,-0.13587843646349232,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_minus_omission,lcc,0.6445240193496552,3.700190028903921,0.8678440084848942,0.6262002485220469,13.0,0.10195413199406948,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_minus_omission,none,0.6547207661814557,3.1884189851711775,0.8754060760232699,0.6285535561625555,153.0,0.10543586181717801,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_star,lcc,0.704561283548163,1.3057864009860112,0.9210978020873282,0.6927427552285599,0.0,-0.03082941422938212,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0059.nii.gz,GT_star,none,0.7178670181925204,1.1629871291205247,0.9306788439048839,0.6957880863544393,166.0,-0.027767226762422027,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_minus_drift_neg,lcc,0.8313012273980297,1.0,0.9487417802548478,0.5604938349928786,123.0,-0.14951068625767755,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_minus_drift_neg,none,0.8220947605861537,1.1792476415070754,0.9438954585482451,0.5571518429991194,25.0,-0.14174591130876887,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_minus_drift_pos,lcc,0.845953113045379,1.1792476415070754,0.9455212106528945,0.505007947716435,33.0,-0.23344539870563247,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_minus_drift_pos,none,0.8390450915801947,1.25,0.9421704403898292,0.5025925111746171,65.0,-0.22644692868499147,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_minus_omission,lcc,0.7943685185720788,1.25,0.9200346326003855,0.5455222661482667,20.0,-0.1411293254361091,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_minus_omission,none,0.7872724137984106,1.334634781503914,0.915513483579083,0.5423290789972246,78.0,-0.13328803055979688,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_star,lcc,0.8548864064940942,1.0,0.9497499004578936,0.5718071869400757,0.0,-0.18045704648916355,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0061.nii.gz,GT_star,none,0.8486332304096198,1.0,0.9456699106991379,0.5687493252309638,98.0,-0.1729748048052856,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0067.nii.gz,GT_minus_drift_neg,lcc,0.8400302008214445,1.0,0.9567180721104523,0.6549847349316678,67.0,0.14871319567185412,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0067.nii.gz,GT_minus_drift_neg,none,0.8375302852542251,1.0,0.9586438732423236,0.6561308572131349,7.0,0.15418373065482605,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0067.nii.gz,GT_minus_drift_pos,lcc,0.8669997906332059,1.0,0.9602363001962678,0.6856755662170161,13.0,0.046355561489346664,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0067.nii.gz,GT_minus_drift_pos,none,0.864949443581824,0.73046875,0.9628814275360353,0.6871489975233614,47.0,0.05133863709544416,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0067.nii.gz,GT_minus_omission,lcc,0.7253131112144638,2.4087883577722353,0.8828541418790232,0.6293250351930059,11.0,0.19982619502179316,c1e84f2,42.0,2026-09-07T16:52:52+00:00
